시간,규모,진앙(km),위도,경도,위치
2016-09-15 19:47:25,2.2,20,35.77,129.19,경북 경주시 남남서쪽 8km 지역
2016-09-15 20:48:25,2.6,19,35.76,129.19,경북 경주시 남남서쪽 9km 지역
2016-09-16 05:31:09,2.2,18,35.78,129.19,경북 경주시 남남서쪽 7km 지역
2016-09-16 15:13:18,2.3,16,35.76,129.17,경북 경주시 남남서쪽 10km 지역
2016-09-16 18:58:31,2.0,19,35.75,129.18,경북 경주시 남남서쪽 10km 지역
2016-09-16 19:15:46,2.0,16,35.76,129.18,경북 경주시 남남서쪽 10km 지역
2016-09-16 19:54:46,2.1,13,35.74,129.17,경북 경주시 남남서쪽 12km 지역
2016-09-16 21:14:24,2.2,18,35.76,129.18,경북 경주시 남남서쪽 9km 지역
2016-09-17 07:12:56,2.1,17,35.76,129.18,경북 경주시 남남서쪽 9km 지역
2016-09-17 16:21:58,2.1,18,35.76,129.18,경북 경주시 남남서쪽 9km 지역
2016-09-18 16:27:54,2.4,16,35.76,129.17,경북 경주시 남남서쪽 10km 지역
2016-09-18 22:38:07,2.0,14,35.75,129.18,경북 경주시 남남서쪽 10km 지역
2016-09-19 09:17:59,2.1,17,35.76,129.17,경북 경주시 남남서쪽 10km 지역
2016-09-19 20:33:58,4.5,14,35.74,129.18,경북 경주시 남남서쪽 11km 지역
2016-09-19 21:00:51,2.1,18,35.75,129.17,경북 경주시 남남서쪽 11km 지역
2016-09-20 09:58:17,2.4,19,35.76,129.20,경북 경주시 남쪽 9km 지역
2016-09-20 15:05:17,2.5,0,38.36,128.09,북한 강원도 양구군 북북동쪽 29km 지역
2016-09-20 20:03:27,2.1,17,35.77,129.19,경북 경주시 남남서쪽 8km 지역
2016-09-21 00:59:11,2.1,17,35.76,129.18,경북 경주시 남남서쪽 9km 지역
2016-09-21 03:36:51,2.9,14,35.77,129.18,경북 경주시 남남서쪽 8km 지역
2016-09-21 11:36:41,2.2,16,35.78,129.15,경북 경주시 남서쪽 9km 지역
2016-09-21 11:53:54,3.5,18,35.75,129.18,경북 경주시 남남서쪽 10km 지역
2016-09-22 00:01:30,2.3,16,35.76,129.18,경북 경주시 남남서쪽 9km 지역
2016-09-22 03:22:32,2.1,14,35.76,129.18,경북 경주시 남남서쪽 9km 지역
2016-09-23 18:21:42,2.1,17,35.76,129.18,경북 경주시 남남서쪽 9km 지역
